TIMESTAMP: 9.100000, X: 0.634788, Y: 12.227541, Z: -6.938928, PITCH: -0.199705, YAW: -1.638610
TIMESTAMP: 9.200000, X: 0.592282, Y: 12.066144, Z: -6.948100, PITCH: -0.200428, YAW: -1.672357
TIMESTAMP: 9.300000, X: 0.549395, Y: 11.907591, Z: -6.954903, PITCH: -0.201151, YAW: -1.706081
TIMESTAMP: 9.400000, X: 0.506037, Y: 11.752010, Z: -6.959063, PITCH: -0.201873, YAW: -1.739778
TIMESTAMP: 9.500000, X: 0.462113, Y: 11.599511, Z: -6.960318, PITCH: -0.202599, YAW: -1.773591
TIMESTAMP: 9.600000, X: 0.417522, Y: 11.450190, Z: -6.958422, PITCH: -0.203325, YAW: -1.807418
TIMESTAMP: 9.700000, X: 0.372162, Y: 11.304125, Z: -6.953142, PITCH: -0.204042, YAW: -1.840983
TIMESTAMP: 9.800000, X: 0.325932, Y: 11.161377, Z: -6.944266, PITCH: -0.204760, YAW: -1.874542
TIMESTAMP: 9.900000, X: 0.278729, Y: 11.021994, Z: -6.931599, PITCH: -0.205494, YAW: -1.908624
TIMESTAMP: 10.000000, X: 0.230457, Y: 10.886010, Z: -6.914964, PITCH: -0.206228, YAW: -1.942704
TIMESTAMP: 10.100000, X: 0.181024, Y: 10.753444, Z: -6.894210, PITCH: -0.206931, YAW: -1.975778
TIMESTAMP: 10.200000, X: 0.130344, Y: 10.624300, Z: -6.869204, PITCH: -0.207634, YAW: -2.008865
TIMESTAMP: 10.300000, X: 0.078343, Y: 10.498573, Z: -6.839838, PITCH: -0.208396, YAW: -2.043860
TIMESTAMP: 10.400000, X: 0.024955, Y: 10.376244, Z: -6.806026, PITCH: -0.209156, YAW: -2.078810
TIMESTAMP: 10.500000, X: -0.029871, Y: 10.257281, Z: -6.767710, PITCH: -0.209808, YAW: -2.110209
TIMESTAMP: 10.600000, X: -0.086174, Y: 10.141645, Z: -6.724854, PITCH: -0.210468, YAW: -2.141841
TIMESTAMP: 10.700000, X: -0.143978, Y: 10.029283, Z: -6.677449, PITCH: -0.211311, YAW: -2.179541
TIMESTAMP: 10.800000, X: -0.203290, Y: 9.920134, Z: -6.625510, PITCH: -0.212034, YAW: -2.213269
